,Image,MP_ID,X_mm,X_pix,Y_mm,Y_pix,Z_mm,electrode_0,electrode_0_cnx,notes,rad_um,sweeps,z_electrode_0
0,ZSeries-01082018-0920-053,['TSeries_242_6'],-6144.29822037,36,-7105.53594982,704,90.059,208.363906758,no cnx,,5.0,"[array([247, 255, 263, 271, 279, 287, 295, 303, 311, 319])]",-36.3
1,ZSeries-01082018-0920-053,['TSeries_87_2'],-6073.67536864,227,-7221.18977348,391,65.189,71.7468008744,no cnx,,5.0,"[array([ 88,  93,  98, 103, 108, 113, 118, 123, 128, 133])]",-11.43
2,ZSeries-01082018-0920-053,['TSeries_402_3'],-6235.44223445,210,-7039.22098185,884,106.059,314.276269653,no cnx,,5.0,"[array([404, 411, 418, 425, 432, 439, 446, 453, 460, 467])]",-52.3
3,ZSeries-01082018-0920-053,['TSeries_322_2'],-6218.16250699,163,-7053.01197183,846,98.219,291.990283018,no cnx,,5.0,"[array([323, 331, 339, 347, 355, 363, 371, 379, 387, 395])]",-44.46
4,ZSeries-01082018-0920-053,['TSeries_322_4'],-6193.9081202,97,-7093.73538669,736,98.219,245.429264693,no cnx,,5.0,"[array([325, 333, 341, 349, 357, 365, 373, 381, 389, 397])]",-44.46
5,ZSeries-01082018-0920-053,['TSeries_242_3'],-6117.94777546,107,-7112.12356104,686,90.059,191.920875393,no cnx,,5.0,"[array([244, 252, 260, 268, 276, 284, 292, 300, 308, 316])]",-36.3
6,ZSeries-01082018-0920-053,['TSeries_27_6'],-5960.4328075,533,-7331.41004602,93,68.819,101.511004273,no cnx,,5.0,"[array([32, 38, 44, 50, 56, 62, 68, 74, 80, 86])]",-15.06
7,ZSeries-01082018-0920-053,['TSeries_402_4'],-6215.3799639,156,-7103.30047288,710,106.059,252.896227179,no cnx,,5.0,"[array([405, 412, 419, 426, 433, 440, 447, 454, 461, 468])]",-52.3
8,ZSeries-01082018-0920-053,['TSeries_402_2'],-6176.15373341,49,-7192.83209819,468,106.059,165.80630651,no cnx,,5.0,"[array([403, 410, 417, 424, 431, 438, 445, 452, 459, 466])]",-52.3
9,ZSeries-01082018-0920-053,['TSeries_142_9'],-6117.52525042,108,-7223.46081761,385,83.859,97.5976850649,no cnx,,5.0,"[array([150, 160, 170, 180, 190, 200, 210, 220, 230, 240])]",-30.1
10,ZSeries-01082018-0920-053,['TSeries_322_1'],-6205.28672141,128,-7174.58334266,517,98.219,196.688276597,no cnx,,5.0,"[array([322, 330, 338, 346, 354, 362, 370, 378, 386, 394])]",-44.46
11,ZSeries-01082018-0920-053,['TSeries_27_2'],-6010.43876545,398,-7380.51769335,39,68.819,101.879896452,no cnx,,5.0,"[array([28, 34, 40, 46, 52, 58, 64, 70, 76, 82])]",-15.06
12,ZSeries-01082018-0920-053,['TSeries_87_1'],-6099.4269398,157,-7158.9069037,560,65.189,138.619824303,no cnx,,5.0,"[array([ 87,  92,  97, 102, 107, 112, 117, 122, 127, 132])]",-11.43
13,ZSeries-01082018-0920-053,['TSeries_402_1'],-6174.35711217,45,-7123.06330656,657,106.059,212.693750476,no cnx,,5.0,"[array([402, 409, 416, 423, 430, 437, 444, 451, 458, 465])]",-52.3
14,ZSeries-01082018-0920-053,['TSeries_87_4'],-6099.4269398,157,-7177.77142676,509,65.189,121.195621422,excitatory,,5.0,"[[90, 95, 100, 105, 110, 115, 120, 125, 130, 135]]",-11.43
15,ZSeries-01082018-0920-053,['TSeries_27_5'],-6092.78390578,175,-7272.72041873,252,68.819,46.98350612,tbd,,5.0,"[[31, 37, 43, 49, 55, 61, 67, 73, 79, 85]]",-15.06
16,ZSeries-01082018-0920-053,['TSeries_142_2'],-6131.89822037,69,-7196.21206208,459,83.859,126.169664576,no cnx,,5.0,"[array([143, 153, 163, 173, 183, 193, 203, 213, 223, 233])]",-30.1
17,ZSeries-01082018-0920-053,['TSeries_242_8'],-6189.81262521,86,-7108.23088168,697,90.059,230.200527015,no cnx,,5.0,"[array([249, 257, 265, 273, 281, 289, 297, 305, 313, 321])]",-36.3
18,ZSeries-01082018-0920-053,['TSeries_142_5'],-6164.23740276,17,-7136.02525042,622,83.859,192.096150702,no cnx,,5.0,"[array([146, 156, 166, 176, 186, 196, 206, 216, 226, 236])]",-30.1
19,ZSeries-01082018-0920-053,['TSeries_142_6'],-6157.9492284,0,-7186.92951899,484,83.859,150.343551891,no cnx,,5.0,"[array([147, 157, 167, 177, 187, 197, 207, 217, 227, 237])]",-30.1
20,ZSeries-01082018-0920-053,['TSeries_322_3'],-6241.51858316,226,-7097.62806605,726,98.219,273.130366868,no cnx,,5.0,"[array([324, 332, 340, 348, 356, 364, 372, 380, 388, 396])]",-44.46
21,ZSeries-01082018-0920-053,['TSeries_242_7'],-6112.85734861,121,-7175.00530457,516,90.059,134.063477699,no cnx,,5.0,"[array([248, 256, 264, 272, 280, 288, 296, 304, 312, 320])]",-36.3
22,ZSeries-01082018-0920-053,['TSeries_242_5'],-6146.99315224,28,-7160.9317715,554,90.059,163.5295113,no cnx,,5.0,"[array([246, 254, 262, 270, 278, 286, 294, 302, 310, 318])]",-36.3
23,ZSeries-01082018-0920-053,['TSeries_402_5'],-6148.60554101,24,-7103.001036,711,106.059,215.841698903,no cnx,,5.0,"[array([406, 413, 420, 427, 434, 441, 448, 455, 462, 469])]",-52.3
24,ZSeries-01082018-0920-053,['TSeries_322_7'],-6135.21849291,60,-7065.28888367,813,98.219,242.483367861,no cnx,,5.0,"[array([328, 336, 344, 352, 360, 368, 376, 384, 392, 400])]",-44.46
25,ZSeries-01082018-0920-053,['TSeries_322_8'],-6167.25823842,25,-7191.05237072,473,98.219,157.894343129,no cnx,,5.0,"[array([329, 337, 345, 353, 361, 369, 377, 385, 393, 401])]",-44.46
26,ZSeries-01082018-0920-053,['TSeries_87_3'],-6205.72703005,129,-7169.98606804,530,65.189,195.046579905,no cnx,,5.0,"[array([ 89,  94,  99, 104, 109, 114, 119, 124, 129, 134])]",-11.43
27,ZSeries-01082018-0920-053,['TSeries_142_8'],-6118.42356104,106,-7170.7599278,528,83.859,138.780333728,no cnx,,5.0,"[array([149, 159, 169, 179, 189, 199, 209, 219, 229, 239])]",-30.1
28,ZSeries-01082018-0920-053,['TSeries_27_1'],-6037.08864723,326,-7276.61309809,241,68.819,23.6757167681,tbd,,5.0,"[[27, 33, 39, 45, 51, 57, 63, 69, 75, 81]]",-15.06
29,ZSeries-01082018-0920-053,['TSeries_242_2'],-6161.36612219,9,-7139.37231657,613,90.059,188.846122024,no cnx,,5.0,"[array([243, 251, 259, 267, 275, 283, 291, 299, 307, 315])]",-36.3
30,ZSeries-01082018-0920-053,['TSeries_27_3'],-6032.29765725,339,-7296.07649489,189,68.819,25.3099828255,tbd,,5.0,"[[29, 35, 41, 47, 53, 59, 65, 71, 77, 83]]",-15.06
31,ZSeries-01082018-0920-053,['TSeries_322_5'],-6161.86837469,11,-7054.5091562,842,98.219,262.519298108,no cnx,,5.0,"[array([326, 334, 342, 350, 358, 366, 374, 382, 390, 398])]",-44.46
32,ZSeries-01082018-0920-053,['TSeries_142_7'],-6109.44045483,130,-7124.04777546,654,83.859,176.909608751,no cnx,,5.0,"[array([148, 158, 168, 178, 188, 198, 208, 218, 228, 238])]",-30.1
33,ZSeries-01082018-0920-053,['TSeries_142_10'],-6225.92139879,184,-7208.18953704,426,83.859,194.650005064,no cnx,,5.0,"[array([151, 161, 171, 181, 191, 201, 211, 221, 231, 241])]",-30.1
34,ZSeries-01082018-0920-053,['TSeries_402_7'],-6217.47602202,161,-7144.92219835,598,106.059,225.786537017,no cnx,,5.0,"[array([408, 415, 422, 429, 436, 443, 450, 457, 464, 471])]",-52.3
35,ZSeries-01082018-0920-053,['TSeries_242_1'],-6226.64336071,186,-7147.45711217,591,90.059,227.981842552,no cnx,,5.0,"[array([242, 250, 258, 266, 274, 282, 290, 298, 306, 314])]",-36.3
36,ZSeries-01082018-0920-053,['TSeries_322_6'],-6134.61961916,62,-7187.75856511,482,98.219,138.077796676,no cnx,,5.0,"[array([327, 335, 343, 351, 359, 367, 375, 383, 391, 399])]",-44.46
37,ZSeries-01082018-0920-053,['TSeries_402_6'],-6153.69596787,10,-7144.02388773,600,106.059,184.617833427,no cnx,,5.0,"[array([407, 414, 421, 428, 435, 442, 449, 456, 463, 470])]",-52.3
38,ZSeries-01082018-0920-053,['TSeries_142_3'],-6106.14664921,139,-7206.3929158,431,83.859,103.193434711,excitatory,,5.0,"[[144, 154, 164, 174, 184, 194, 204, 214, 224, 234]]",-30.1
39,ZSeries-01082018-0920-053,['TSeries_27_4'],-6015.82862918,383,-7393.99235267,75,68.819,112.410799535,tbd,,5.0,"[[30, 36, 42, 48, 54, 60, 66, 72, 78, 84]]",-15.06
40,ZSeries-01082018-0920-053,['TSeries_142_4'],-6129.50272538,76,-7108.17762115,697,83.859,198.761970599,no cnx,,5.0,"[array([145, 155, 165, 175, 185, 195, 205, 215, 225, 235])]",-30.1
41,ZSeries-01082018-0920-053,['TSeries_142_1'],-6149.26555906,22,-7103.98550491,708,83.859,211.006086714,no cnx,,5.0,"[array([142, 152, 162, 172, 182, 192, 202, 212, 222, 232])]",-30.1
42,ZSeries-01082018-0920-053,['TSeries_87_5'],-6162.00924645,11,-7182.56241674,496,65.189,153.676874863,no cnx,,5.0,"[array([ 91,  96, 101, 106, 111, 116, 121, 126, 131, 136])]",-11.43
43,ZSeries-01082018-0920-053,['TSeries_242_4'],-6213.16870138,150,-7180.99404205,500,90.059,197.743840212,no cnx,,5.0,"[array([245, 253, 261, 269, 277, 285, 293, 301, 309, 317])]",-36.3
